(0, {'status_code': 205, 'place_id': None})
(1, {'status_code': 205, 'place_id': None})
(2, {'status_code': 205, 'place_id': None})
(3, {'status_code': 205, 'place_id': None})
(4, {'status_code': 205, 'place_id': None})
(5, {'status_code': 201, 'place_id': u'ChIJ3-m-BoYhRjcRaLPxExRndVw'})
(6, {'status_code': 205, 'place_id': None})
(7, {'status_code': 205, 'place_id': None})
(8, {'status_code': 205, 'place_id': None})
(9, {'status_code': 205, 'place_id': None})
(10, {'status_code': 205, 'place_id': None})
(11, {'status_code': 205, 'place_id': None})
(12, {'status_code': 205, 'place_id': None})
(13, {'status_code': 205, 'place_id': None})
(14, {'status_code': 205, 'place_id': None})
(15, {'status_code': 205, 'place_id': None})
(16, {'status_code': 205, 'place_id': None})
(17, {'status_code': 205, 'place_id': None})
(18, {'status_code': 205, 'place_id': None})
(19, {'status_code': 205, 'place_id': None})
(20, {'status_code': 205, 'place_id': None})
(21, {'status_code': 205, 'place_id': None})
(22, {'status_code': 205, 'place_id': None})
(23, {'status_code': 205, 'place_id': None})
(24, {'status_code': 201, 'place_id': u'ChIJc4LlX7FrQzkRbSGThG-2MM8'})
(25, {'status_code': 205, 'place_id': None})
(26, {'status_code': 205, 'place_id': None})
(27, {'status_code': 205, 'place_id': None})
(28, {'status_code': 205, 'place_id': None})
(29, {'status_code': 205, 'place_id': None})
(30, {'status_code': 205, 'place_id': None})
(31, {'status_code': 205, 'place_id': None})
(32, {'status_code': 205, 'place_id': None})
(33, {'status_code': 205, 'place_id': None})
(34, {'status_code': 205, 'place_id': None})
(35, {'status_code': 205, 'place_id': None})
(36, {'status_code': 205, 'place_id': None})
(37, {'status_code': 205, 'place_id': None})
(38, {'status_code': 205, 'place_id': None})
(39, {'status_code': 205, 'place_id': None})
(40, {'status_code': 205, 'place_id': None})
(41, {'status_code': 205, 'place_id': None})
(42, {'status_code': 205, 'place_id': None})
(43, {'status_code': 205, 'place_id': None})
(44, {'status_code': 205, 'place_id': None})
(45, {'status_code': 205, 'place_id': None})
(46, {'status_code': 205, 'place_id': None})
