City,SCHOOL_CODE,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,C1_DIS_B,C1_DIS_G,C2_DIS_B,C2_DIS_G,C3_DIS_B,C3_DIS_G,C4_DIS_B,C4_DIS_G,C5_DIS_B,C5_DIS_G,C6_DIS_B,C6_DIS_G,C7_DIS_B,C7_DIS_G,C8_DIS_B,C8_DIS_G,C9_DIS_B,C9_DIS_G,C10_DIS_B,C10_DIS_G,C11_DIS_B,C11_DIS_G,C12_DIS_B,C12_DIS_G,BLDSTATUS,CLROOMS,CLGOOD,CLMAJOR,CLMINOR,TOILETB,TOILET_G,MEALSINSCH,CAL_YN,HMROOM_YN,ELECTRIC_YN,BNDRYWALL,LIBRARY_YN,PGROUND_YN,BOOKINLIB,WATER,MEDCHK_YN,RAMPS_YN,COMPUTER,RURURB,MEDINSTR1,MEDINSTR2,MEDINSTR3,MEDINSTR4,ESTDYEAR,BOARDSEC,BOARDHSEC,PPSEC_YN,SCHRES_YN,SCHMGT,LOWCLASS,HIGHCLASS,SCHCAT,PPSTUDENT,SCHTYPE,SCHSHI_YN,WORKDAYS_PR,WORKDAYS_UPR,WORKDAYS_SEC,WORKDAYS_HSEC,NOINSPECT,RESITYPE,PPTEACHER,VISITSBRC,VISITSCRC,CONTI_R,CONTI_E,SCHMNTCGRANT_R,SCHMNTCGRANT_E,FUNDS_R,FUNDS_E,C1_OB,C2_OB,C3_OB,C4_OB,C5_OB,C6_OB,C7_OB,C8_OB,C9_OB,C10_OB,C11_OB,C12_OB,C1_OG,C2_OG,C3_OG,C4_OG,C5_OG,C6_OG,C7_OG,C8_OG,C9_OG,C10_OG,C11_OG,C12_OG,FAIL1B,FAIL2B,FAIL3B,FAIL4B,FAIL5B,FAIL6B,FAIL7B,FAIL8B,FAIL9B,FAIL10B,FAIL11B,FAIL12B,FAIL1G,FAIL2G,FAIL3G,FAIL4G,FAIL5G,FAIL6G,FAIL7G,FAIL8G,FAIL9G,FAIL10G,FAIL11G,FAIL12G,WORKDAYS_PR,WORKDAYS_UPR,SCHHRSTCH_PR,SCHHRSCHILD_UPR,SCHHRSTCH_UPR,APPROACHBYROAD,CCE_YN,PCR_MAINTAINED,PCR_SHARED,WSEC25P_ENROLLED,SMC_YN,SMCMEM_M,SMCMEM_F,SMSPARENTS_M,SMSPARENTS_F,SMCNOMLOCAL_M,SMCNOMLOCAL_F,SMCMEETINGS,SMCSDP_YN,SMSCHILDREC_YN,SPLTRG_CY_ENROLLED_B,SPLTRG_CY_ENROLLED_G,SPLTRG_CY_PROVIDED_B,SPLTRG_CY_PROVIDED_G,SPLTRG_PY_ENROLLED_B,SPLTRG_PY_ENROLLED_G,SPLTRG_PY_PROVIDED_B,SPLTRG_PY_PROVIDED_G,SPLTRG_BY,SPLTRG_PLACE,SPLTRG_TYPE,TXTBKRECD_YN,TXTBKMNTH,TXTBKYEAR,ACSTARTMNTH,MEALSINSCH,KITSHED,MDM_MAINTAINER,C1_CB,C2_CB,C3_CB,C4_CB,C5_CB,C6_CB,C7_CB,C8_CB,C9_CB,C10_CB,C11_CB,C12_CB,C1_CG,C2_CG,C3_CG,C4_CG,C5_CG,C6_CG,C7_CG,C8_CG,C9_CG,C10_CG,C11_CG,C12_CG,C1_TB,C2_TB,C3_TB,C4_TB,C5_TB,C6_TB,C7_TB,C8_TB,C9_TB,C10_TB,C11_TB,C12_TB,C1_TG,C2_TG,C3_TG,C4_TG,C5_TG,C6_TG,C7_TG,C8_TG,C9_TG,C10_TG,C11_TG,C12_TG,TCH_MALE,TCH_FEMALE,TCH_NR,HEADTCH,HTCHNAME,GRADABOVE,TCHWITHPROF,DAYSINVLD,TCHINVLD,C1_TOTB,C1_TOTG,C2_TOTB,C2_TOTG,C3_TOTB,C3_TOTG,C4_TOTB,C4_TOTG,C5_TOTB,C5_TOTG,C6_TOTB,C6_TOTG,C7_TOTB,C7_TOTG,C8_TOTB,C8_TOTG,C9_B,C9_G,C10_B,C10_G,C11_B,C11_G,C12_B,C12_G,SENRB5,SENRG5,SENRB8,SENRG8,APPRB5,APPRG5,APPRB8,APPRG8,PASSB5,PASSG5,PASSB8,PASSG8,P60B5,P60G5,P60B8,P60G8,Place Id,Place Id Filter
AHMADNAGAR,27260114013,2015-16,SHRI SAMARTH ENG MEDIUM SCHOOL ,AKOLE,RAJUR,RAJUR,Maharashtra,422604,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,1,1,0,2,1,1,3,1,1,100,4,2,1,10,1,19,98,98,98,2013,0,0,1,2,5,1,4,1,14,3,2,222,0,0,0,0,9,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,6,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,6,0,0,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0, ,2,2,0,0,8,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AHMADNAGAR,27260101102,2015-16,KALSUBAI HIGH SCHOOL ,AKOLE,SHENDI,BARI,Maharashtra,422604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,2,4,4,0,0,1,1,2,2,1,1,1,1,1,1300,2,1,1,4,1,10,98,98,98,1992,2,5,2,2,4,5,12,5,0,3,1,0,229,229,229,1,9,0,2,6,7000,7000,0,0,7000,7000,0,0,0,0,0,0,3,0,0,1,3,1,0,0,0,0,3,2,1,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,6.3,7,1,1,1,2,0,1,15,2,7,2,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6,2015,6,2,1,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,17,18,24,20,24,27,41,36,0,0,0,0,19,19,24,21,28,25,20,25,10,2,0,0, ,10,12,0,0,0,0,0,0,0,0,0,0,17,22,19,22,27,25,20,24,25,32,28,29,44,21,37,26,0,0,21,23,0,0,21,23,0,0,21,23,0,0,13,16,,
AHMADNAGAR,27260114101,2015-16,Z.P.P.SCHOOL ,AKOLE,RUMBHODI,RUMBHODI,Maharashtra,422601,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,1,1,2,2,1,1,1,1,1,532,3,1,1,2,1,10,98,98,98,1940,5,5,2,2,3,1,4,1,0,3,2,234,0,0,0,1,9,0,5,23,5000,5000,10000,10000,5000,5000,0,1,2,3,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,8,0,0,1,1,1,1,0,1,9,6,6,4,1,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6,2015,6,2,1,5,1,1,0,1,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,2,0,0, ,2,3,7,2,1,2,3,6,3,7,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,9,7,0,0,9,7,0,0,6,6,0,0,,
AHMADNAGAR,27260114102,2015-16,Z.P.P.SCHOOL DATTAWADI,AKOLE,RUMBHODI,RUMBHODI,Maharashtra,422601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,1,2,2,2,1,1,1,1,1,150,3,1,2,1,1,10,98,98,98,1982,5,5,2,2,3,1,4,1,0,3,2,234,0,0,0,1,9,0,0,11,5000,5000,5000,5000,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,8,0,0,1,1,1,1,0,1,8,7,7,6,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6,2015,6,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0, ,1,2,0,0,3,2,2,2,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,4,0,0,3,4,0,0,3,4,0,0,,
AHMADNAGAR,27260114103,2015-16,Z.P.P.SCHOOL LAHOTEWADI,AKOLE,RUMBHODI,RUMBHODI,Maharashtra,422601,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,1,1,2,2,1,1,6,1,1,212,4,1,1,1,1,10,98,98,98,1957,5,5,2,2,3,1,4,1,0,3,2,234,0,0,0,1,9,0,2,13,5000,5000,5000,5000,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,8,0,0,1,1,1,1,0,1,7,7,5,6,0,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6,2015,6,2,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0, ,2,2,0,0,4,0,5,7,5,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,,
AHMADNAGAR,27260114104,2015-16,Z.P.P.SCHOOL MALUNJKARWADI,AKOLE,RUMBHODI,RUMBHODI,Maharashtra,422601,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,1,1,2,2,2,1,1,1,1,150,3,1,1,1,1,10,98,98,98,1961,5,5,2,2,3,1,4,1,0,3,2,234,0,0,0,1,9,0,1,9,5000,5000,5000,5000,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,8,0,0,1,1,1,1,0,1,7,5,6,4,1,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6,2015,6,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,4,0,0,0,0,0,0,0,0,2,2,3,2,0,0,0,0,0,0,0,0,2,0,0,0, ,2,2,0,0,4,3,6,3,3,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,19,19,0,0,19,19,0,0,19,19,0,0,,
AHMADNAGAR,27260101103,2015-16,Z.P.P.SCHOOL BAGALAWADI,AKOLE,SHENDI,BARI,Maharashtra,422604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,1,1,2,2,1,1,4,1,1,65,4,1,1,1,1,10,98,98,98,2004,5,5,2,2,3,1,4,1,0,3,2,220,0,0,0,1,9,0,2,8,5000,5000,5000,5000,5000,5000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,8,0,0,1,1,1,1,0,1,10,6,8,4,2,2,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6,2015,6,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,0,0,0,3,6,2,1,0,0,0,0,0,0,0,0,2,0,0,0, ,0,2,0,0,5,3,0,6,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,,
AHMADNAGAR,27260101201,2015-16,Z.P.P.SCHOOL MADAGEWADI,AKOLE,PIMPARKANE,BABHULWANDI,Maharashtra,422604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,2,1,2,2,2,3,3,1,1,200,3,1,1,1,1,10,98,98,98,1992,5,5,2,2,3,1,4,1,0,3,2,223,0,0,0,1,9,0,2,10,5000,5000,5000,5000,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,8,0,0,1,1,1,1,0,1,8,5,4,4,1,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6,2015,6,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,3,0,0,0,0,0,0,0,0,5,4,5,3,0,0,0,0,0,0,0,0,2,0,0,0, ,1,2,0,0,4,5,6,4,3,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,0,0,12,15,0,0,12,15,0,0,11,12,0,0,,
AHMADNAGAR,27260101202,2015-16,Z.P.P.SCHOOL ,AKOLE,PIMPARKANE,BABHULWANDI,Maharashtra,422604,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,1,0,1,1,2,2,1,1,4,1,1,259,1,1,1,5,1,10,98,98,98,1939,5,5,2,2,3,1,8,2,0,3,2,234,234,0,0,1,9,0,8,12,0,0,0,0,0,0,2,1,1,3,4,2,4,0,0,0,0,0,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,234,8,6.3,8,1,1,1,1,0,1,8,3,5,2,1,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9,6,2,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,3,5,2,5,2,8,7,0,0,0,0,0,9,1,4,4,5,7,9,0,0,0,0,0,5,0,0,0, ,2,5,0,0,5,11,7,3,4,5,9,5,6,7,10,11,11,9,0,0,0,0,0,0,0,0,0,0,39,26,32,32,39,26,32,32,39,26,32,32,28,18,22,22,,
AHMADNAGAR,27260101203,2015-16,Z.P.P.SCHOOL MHASOBAWADI,AKOLE,PIMPARKANE,BABHULWANDI,Maharashtra,422604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,1,1,2,2,1,2,6,1,1,80,4,1,1,1,1,10,98,98,98,2000,5,5,2,2,3,1,4,1,0,3,2,225,0,0,0,1,9,0,0,8,5000,5000,5000,5000,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,6.3,0,0,1,1,1,1,0,1,7,7,5,5,1,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6,2015,6,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0, ,1,2,0,0,1,2,0,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,5,7,0,0,5,7,0,0,4,5,0,0,,
